userId,Art_Id,rating
1,1,4
1,2,4
1,3,4
1,4,5
1,5,5
1,6,3
1,7,5
1,8,4
1,9,5
1,10,5
1,11,5
1,12,5
1,13,3
1,14,5
1,15,4
1,16,5
1,17,3
1,18,3
1,19,5
1,20,4
1,21,4
1,22,5
1,23,4
1,24,3
1,25,4
1,26,5
1,27,4
1,28,3
1,29,5
1,30,4
1,31,4
1,32,5
1,33,4
1,34,4
1,35,4
1,36,5
1,37,5
1,38,3
1,39,5
1,40,3
1,41,4
1,42,3
1,43,3
1,44,4
1,45,5
1,46,5
1,47,5
1,48,4
1,49,5
1,50,3
1,51,5
1,52,5
1,53,5
1,54,5
1,55,3
1,56,5
1,57,5
1,58,4
1,59,5
1,60,4
1,61,5
1,62,5
1,63,5
1,64,4
1,65,5
1,66,5
1,67,4
1,68,5
1,69,5
1,70,5
1,71,5
1,72,5
1,73,4
1,74,5
1,75,5
1,76,4
1,77,2
1,78,5
1,79,5
1,80,5
1,81,5
1,82,5
1,83,5
1,84,3
1,85,4
1,86,5
1,87,5
1,88,5
1,89,5
1,90,5
1,91,5
1,92,4
1,93,3
1,94,3
1,95,3
1,96,3
1,97,4
1,98,4
1,99,5
1,100,4
1,101,5
1,102,3
1,103,5
1,104,5
1,105,4
1,106,5
1,107,3
1,108,3
1,109,5
1,110,4
1,111,4
1,112,5
1,113,4
1,114,4
1,115,5
1,116,5
1,117,4
1,118,4
1,119,5
1,120,4
1,121,5
1,122,4
1,123,5
1,124,4
1,125,5
1,126,4
1,127,5
1,128,5
1,129,5
1,130,3
1,131,5
1,132,4
1,133,4
1,134,4
1,135,5
1,136,5
1,137,5
1,138,5
1,139,5
1,140,4
1,141,5
1,142,4
1,143,4
1,144,2
1,145,4
1,146,4
1,147,5
1,148,5
1,149,2
1,150,5
1,151,4
1,152,5
1,153,2
1,154,5
1,155,4
1,156,3
1,157,5
1,158,4
1,159,5
1,160,5
1,161,4
1,162,4
1,163,5
1,164,3
1,165,5
1,166,5
1,167,5
1,168,5
1,169,5
1,170,4
1,171,2
1,172,4
1,173,4
1,174,5
1,175,4
1,176,4
1,177,5
1,178,3
1,179,5
1,180,5
1,181,5
1,182,5
1,183,4
1,184,4
1,185,5
1,186,5
1,187,5
1,188,4
1,189,5
1,190,5
1,191,5
1,192,5
1,193,5
1,194,4
1,195,5
1,196,5
1,197,5
1,198,4
1,199,5
1,200,5
1,201,5
1,202,5
1,203,4
1,204,5
1,205,4
1,206,1
1,207,3
1,208,3
1,209,5
1,210,5
1,211,5
1,212,4
1,213,4
1,214,5
1,215,5
1,216,5
1,217,4
1,218,4
1,219,4
1,220,5
1,221,4
1,222,4
1,223,5
1,224,5
1,225,5
1,226,5
1,227,4
1,228,4
1,229,5
1,230,4
1,231,4
1,232,5
2,233,3
2,234,4
2,235,4.5
2,236,4
2,237,4
2,238,3.5
2,239,4
2,240,4
2,241,4.5
2,242,5
2,243,4.5
2,244,3
2,245,4
2,246,3
2,247,4
2,248,4.5
2,249,5
2,250,4
2,251,5
2,252,3.5
2,253,2.5
2,254,3.5
2,255,5
2,256,3
2,257,4
2,258,2
2,259,3.5
2,260,5
2,261,5
3,262,0.5
3,263,0.5
3,264,0.5
3,265,0.5
3,266,0.5
3,267,5
3,268,0.5
3,269,0.5
3,270,0.5
3,271,0.5
3,272,0.5
3,273,3.5
3,274,0.5
3,275,3
3,276,4.5
3,277,0.5
3,278,0.5
3,279,0.5
3,280,2
3,281,4
3,282,0.5
3,283,5
3,284,4.5
3,285,0.5
3,286,5
3,287,0.5
3,288,5
3,289,0.5
3,290,5
3,291,5
3,292,4.5
3,293,5
3,294,0.5
3,295,5
3,296,4.5
3,297,5
3,298,4.5
3,299,5
3,300,0.5
4,301,3
4,302,2
4,303,3
4,304,2
4,305,3
4,306,3
4,307,4
4,308,5
4,309,1
4,310,5
4,311,3
4,312,5
4,313,2
4,314,5
4,315,1
4,316,5
4,317,2
4,318,3
4,319,5
4,320,5
4,321,1
4,322,5
4,323,5
4,324,4
4,325,4
4,326,3
4,327,3
4,328,4
4,329,2
4,330,1
4,331,2
4,332,5
4,333,5
4,334,5
4,335,1
4,336,5
4,337,1
4,338,2
4,339,4
4,340,5
4,341,3
4,342,2
4,343,5
4,344,3
4,345,4
4,346,3
4,347,4
4,348,4
4,349,5
4,350,4
4,351,4
4,352,4
4,353,5
4,354,5
4,355,5
4,356,5
4,357,5
4,358,5
4,359,5
4,360,3
4,361,4
4,362,5
4,363,3
4,364,2
4,365,4
4,366,5
4,367,2
4,368,5
4,369,5
4,370,5
4,371,3
4,372,5
4,373,5
4,374,4
4,375,1
4,376,5
4,377,5
4,378,5
4,379,3
4,380,2
4,381,5
4,382,1
4,383,4
4,384,4
4,385,4
4,386,5
4,387,4
4,388,4
4,389,4
4,390,2
4,391,5
4,392,5
4,393,4
4,394,4
4,395,3
4,396,1
4,397,5
4,398,4
4,399,4
4,400,4
4,401,3
4,402,1
4,403,2
4,404,4
